name,url,comment,category,last_update,star_count,fork_count,contributors_count,created_at,last_commit,repo_path,repo_status,rating,finml_added_date
Venture Capital NN,https://github.com/tr7200/National-Culture-and-Venture-Capital-Monitoring,Cox-PH neural network predictions for VC/innovations finance research.,Alternative Finance,,,,,,,tr7200/National-Culture-and-Venture-Capital-Monitoring,,,
Private Equity,https://github.com/TheVinhLuong102/ChicagoBooth-EntrepreneurialFinancePrivateEquity/blob/master/RightNow%20Technologies/RightNow%20Technologies.ipynb,Valuation models.,Alternative Finance,2020-11-26 03:34:45,8.0,6.0,2.0,2016-01-27 21:13:33,2016-03-14 20:03:52,TheVinhLuong102/ChicagoBooth-EntrepreneurialFinancePrivateEquity,inactive,,
VC OLS,https://github.com/fionawhitefield/venture-capital-ols/blob/master/sec_project.ipynb,VC regression.,Alternative Finance,2020-10-06 20:56:14,2.0,1.0,1.0,2018-03-29 23:31:13,2018-03-29 23:33:19,fionawhitefield/venture-capital-ols,inactive,,
Watch Valuation,https://github.com/alporter08/Luxury-Watch-Valuation/blob/master/Luxury-Watch-Valuation.ipynb,Analysis of luxury watch data to classify whether a certain model is likely to be over-or undervalued.,Alternative Finance,2021-01-14 22:41:08,4.0,2.0,1.0,2017-02-08 18:39:29,2017-04-27 22:55:55,alporter08/Luxury-Watch-Valuation,inactive,,
Art Valuation,https://github.com/ahmedhosny/theGreenCanvas/blob/gh-pages/ImageProcessing1210.ipynb,Art evaluation analytics.,Alternative Finance,2021-02-26 12:10:53,9.0,5.0,1.0,2014-12-11 00:25:39,2014-12-12 21:25:46,ahmedhosny/theGreenCanvas,inactive,,
Blockchain,https://github.com/nud3l/dInvest,Repository for distributed autonomous investment banking.,Alternative Finance,2021-02-06 07:38:28,12.0,7.0,2.0,2016-09-05 19:12:40,2017-04-24 10:48:56,nud3l/dInvest,inactive,,
Venture Capital,https://github.com/julian-chan/etothex,Insight into a new founder to make data-driven investment decisions.,Alternative Finance,2020-10-06 20:56:08,3.0,2.0,1.0,2017-12-04 08:59:44,2017-12-13 05:35:27,julian-chan/etothex,inactive,,
Kiva Crowdfunding,https://github.com/CJL89/Kiva-Crowdfunding/blob/master/Kiva%20Crowdfunding.ipynb,Exploratory data analysis.,Alternative Finance,2021-02-19 13:40:33,5.0,1.0,1.0,2018-02-27 16:46:02,2019-02-13 00:15:27,CJL89/Kiva-Crowdfunding,inactive,,
Stanford Advanced Financial Technologies,https://fintech.stanford.edu/,Stanford Advanced Financial Technologies Laboratory,Colleges Centers and Departments,,,,,,,,,,
NYU FRE,https://engineering.nyu.edu/academics/departments/finance-and-risk-engineering,Finance and Risk Engineering (NYU Tandon),Colleges Centers and Departments,,,,,,,,,,
Cornell University,https://www.cornell.edu/,,Colleges Centers and Departments,,,,,,,,,,
Berkeley Lab CIFT,https://cs.lbl.gov/news-media/news/news-archive/2010/berkeley-lab-launches-new-center-for-innovative-financial-technology/,,Colleges Centers and Departments,,,,,,,,,,
Oxford Man,https://www.oxford-man.ox.ac.uk/,Oxford-Man Institute of Quantitative Finance,Colleges Centers and Departments,,,,,,,,,,
NYU Courant,https://cims.nyu.edu/,"Courant Institute of Mathematical Sciences, New York University",Colleges Centers and Departments,,,,,,,,,,
Mathematical Finance,https://github.com/yadongli/nyumath2048,NYU Math-GA 2048: Scientific Computing in Finance.,Courses,2021-01-14 18:01:08,69.0,63.0,6.0,2015-01-25 21:10:37,2020-03-25 04:24:25,yadongli/nyumath2048,active,,
Python for Finance,https://github.com/siaen/python_finance_course,CEU python for finance course material.,Courses,2021-03-31 02:08:55,16.0,15.0,4.0,2017-12-12 11:54:46,2020-02-25 20:31:41,siaen/python_finance_course,active,,
Algo Trading,https://github.com/JCreeks/Machine-Learning-in-Finance/tree/master/0_Intro_to_Algo_Trading,Intro to algo trading.,Courses,2021-03-12 11:02:04,64.0,25.0,1.0,2017-10-29 20:34:54,2019-01-22 06:56:08,JCreeks/Machine-Learning-in-Finance,inactive,,
